Fecha;Dia semana;Monto total;Efectivo;Tarjeta Credito;Tarjeta Debito;Web Pay;PedidosYa;PedidosYa Vouchers;Rappi;UberEats;Mercat;Transferencia;PedidosYa Efectivo;Uber eats
miércoles, 28 de septiembre de 2022;Wednesday;1136481;107479;147473;626259;0;61150;0;31870;106710;55540;0;0;0
jueves, 29 de septiembre de 2022;Thursday;1369166;68496;21328;928922;0;67690;7958;59840;187030;13980;0;13922;0
viernes, 30 de septiembre de 2022;Friday;3319223;260128;34594;2061135;0;132040;10960;266660;421912;120680;0;11114;0
sábado, 1 de octubre de 2022;Saturday;2777667;264633;259649;1524539;0;145510;0;132470;312746;117680;0;20440;0
domingo, 2 de octubre de 2022;Sunday;1219392;184414;117854;464064;0;130070;0;82190;187350;38770;0;14680;0
lunes, 3 de octubre de 2022;Monday;915365;50378;62832;516124;0;81520;0;10290;194221;0;0;0;0
martes, 4 de octubre de 2022;Tuesday;1384191;103373;48334;826271;0;39620;0;52150;247762;66681;0;0;0
miércoles, 5 de octubre de 2022;Wednesday;988037;65857;142313;432055;0;107310;0;48150;107542;73630;0;11180;0
jueves, 6 de octubre de 2022;Thursday;2335808;272629;373167;1328090;0;39950;0;55750;210772;49260;0;6190;0
viernes, 7 de octubre de 2022;Friday;3120424;106231;181555;2018466;0;212490;0;146770;374592;56440;0;23880;0
sábado, 8 de octubre de 2022;Saturday;2471268;127523;282121;1400512;0;172790;0;54440;340862;56760;0;36260;0
domingo, 9 de octubre de 2022;Sunday;1900209;299895;117783;819229;0;162240;0;124580;321022;55460;0;0;0
lunes, 10 de octubre de 2022;Monday;969287;201298;22946;491243;0;71710;0;63040;88270;30780;0;0;0
martes, 11 de octubre de 2022;Tuesday;820339;120590;69212;487267;0;32770;0;40760;39970;18780;0;10990;0
miércoles, 12 de octubre de 2022;Wednesday;1430737;115882;243559;670906;0;150840;0;10990;162240;65330;0;10990;0
jueves, 13 de octubre de 2022;Thursday;1136961;138431;20867;685992;0;114440;0;33470;130771;12990;0;0;0
viernes, 14 de octubre de 2022;Friday;3343395;178577;600435;1926253;0;176890;0;114990;277620;31970;0;36660;0
sábado, 15 de octubre de 2022;Saturday;2534553;130362;434028;1157033;0;152210;0;131630;444850;62460;0;21980;0
domingo, 16 de octubre de 2022;Sunday;1326652;219398;192554;569649;0;106930;0;78230;159891;0;0;0;0
lunes, 17 de octubre de 2022;Monday;891038;102335;31859;487173;0;10990;0;73440;112791;50470;0;21980;0
martes, 18 de octubre de 2022;Tuesday;1933156;333115;123233;907286;0;199720;0;21280;310042;38480;0;0;0
miércoles, 19 de octubre de 2022;Wednesday;1022561;119845;68981;688125;0;49860;0;37260;23470;28270;0;6750;0
jueves, 20 de octubre de 2022;Thursday;1368879;78415;177333;783731;0;21980;0;87120;147580;54140;0;18580;0
viernes, 21 de octubre de 2022;Friday;8026380;811837;625417;4335823;0;609120;0;476370;957213;155640;0;54960;0
sábado, 22 de octubre de 2022;Saturday;0;0;0;0;0;0;0;0;0;0;0;0;0
domingo, 23 de octubre de 2022;Sunday;1247756;93531;177925;476419;0;140580;1960;42460;224971;67340;0;22570;0
lunes, 24 de octubre de 2022;Monday;619613;85573;0;386940;0;38710;0;31570;60640;9990;0;6190;0
martes, 25 de octubre de 2022;Tuesday;913849;151363;35156;460820;0;113240;0;39860;103920;9490;0;0;0
miércoles, 26 de octubre de 2022;Wednesday;1180065;74526;76949;704000;0;83710;0;50850;145270;44760;0;0;0
jueves, 27 de octubre de 2022;Thursday;1772836;175494;135102;1086032;0;52140;3298;32370;179820;102090;0;6490;0
viernes, 28 de octubre de 2022;Friday;2759234;94172;158518;1648224;0;262940;0;167860;377580;41550;0;8390;0
sábado, 29 de octubre de 2022;Saturday;1631868;166683;175508;725164;0;60940;0;123540;344363;20490;0;15180;0
